doc,Edad,Infectados,Hospitalizados,UCI,Fallecidos
53,0_9,65,19,1,0
53,10_19,98,6,0,0
53,20_29,559,104,4,3
53,30_39,949,187,8,2
53,40_49,1428,414,30,6
53,50_59,1520,583,66,13
53,60_69,1557,738,90,48
53,70_79,1894,1110,129,122
53,80_89,1666,1006,21,324
54,0_9,65,20,1,0
54,10_19,96,7,0,0
54,20_29,599,111,5,3
54,30_39,1034,218,11,2
54,40_49,1541,477,34,6
54,50_59,1664,658,74,14
54,60_69,1711,829,109,56
54,70_79,2010,1193,148,137
54,80_89,1453,870,18,253
55,0_9,66,24,1,0
55,10_19,94,6,0,0
55,20_29,617,116,5,3
55,30_39,1086,226,11,2
55,40_49,1618,519,36,7
55,50_59,1785,715,81,15
55,60_69,1839,913,119,59
55,70_79,2158,1313,161,143
55,80_89,1560,945,19,269
56,0_9,95,26,1,0
56,10_19,135,12,0,0
56,20_29,790,155,8,4
56,30_39,1487,347,26,3
56,40_49,2355,765,64,9
56,50_59,2715,1160,133,28
56,60_69,2879,1546,233,73
56,70_79,3223,2139,307,219
56,80_89,2237,1473,30,364
57,0_9,99,27,,
57,10_19,142,16,,
57,20_29,822,161,,
57,30_39,1538,362,,
57,40_49,2444,815,,
57,50_59,2850,1235,,
57,60_69,2995,1627,,
57,70_79,3360,2245,,
57,80_89,2318,1540,,
57,90_+,548,334,,
58,0_9,103,30,1,0
58,10_19,143,15,0,0
58,20_29,857,168,10,4
58,30_39,1626,383,28,3
58,40_49,2578,880,76,9
58,50_59,3054,1331,159,29
58,60_69,3187,1760,282,78
58,70_79,3527,2372,365,248
58,80_89,2421,1610,33,384
58,90_+,574,350,5,137
59,0_9,110,39,2,0
59,10_19,162,22,1,0
59,20_29,1106,224,13,6
59,30_39,2210,584,42,5
59,40_49,3586,1317,96,19
59,50_59,4382,2056,202,55
59,60_69,4589,2654,373,150
59,70_79,4994,3551,442,541
59,80_89,3297,2355,38,720
59,90_+,730,470,3,218
60,0_9,113,39,2,0
60,10_19,168,23,1,0
60,20_29,1130,228,13,6
60,30_39,2281,596,44,5
60,40_49,3696,1346,101,20
60,50_59,4490,2100,207,59
60,60_69,4727,2745,398,154
60,70_79,5105,3634,460,550
60,80_89,3362,2398,40,740
60,90_+,737,475,3,225
61,0_9,115,39,3,0
61,10_19,185,24,2,0
61,20_29,1204,243,12,6
61,30_39,2419,623,36,7
61,40_49,3952,1455,97,25
61,50_59,4810,2271,193,72
61,60_69,5064,2985,356,202
61,70_79,5494,3956,436,653
61,80_89,3710,2642,41,874
61,90_+,835,530,3,264
62,0_9,120,41,3,0
62,10_19,187,24,2,0
62,20_29,1195,243,12,6
62,30_39,2411,631,37,7
62,40_49,3984,1482,106,26
62,50_59,4867,2309,203,72
62,60_69,5142,3038,370,204
62,70_79,5599,4011,457,664
62,80_89,3709,2666,44,882
62,90_+,833,536,3,274
63,0_9,135,50,5,0
63,10_19,210,33,2,0
63,20_29,1356,274,18,5
63,30_39,2824,734,56,12
63,40_49,4822,1833,150,32
63,50_59,5979,2918,301,94
63,60_69,6320,3949,570,274
63,70_79,6727,5032,597,887
63,80_89,4577,3370,54,1205
63,90_+,1119,715,4,364
64,0_9,134,50,5,0
64,10_19,217,38,2,0
64,20_29,1380,280,19,5
64,30_39,2884,754,58,12
64,40_49,4909,1874,159,32
64,50_59,6098,3010,319,96
64,60_69,6475,4078,599,284
64,70_79,6886,5174,620,930
64,80_89,4667,3453,56,1237
64,90_+,1139,726,4,386
65,10_19,217,38,2,0
65,20_29,1380,280,19,5
65,30_39,2884,754,58,12
65,40_49,4909,1874,159,32
65,50_59,6098,3010,319,96
65,60_69,6475,4078,599,284
65,70_79,6886,5174,620,930
65,80_89,4667,3453,56,1237
65,90_+,1139,726,4,386
65,Total,34789,19437,1841,2982
66,0_9,155,65,12,1
66,10_19,228,46,3,0
66,20_29,1683,378,27,7
66,30_39,3532,1043,81,16
66,40_49,6122,2583,232,38
66,50_59,7739,4120,455,125
66,60_69,8053,5351,774,402
66,70_79,8397,6612,800,1301
66,80_89,5695,4397,69,1659
66,90_+,1368,885,8,459
67,0_9,127,44,5,0
67,10_19,226,47,4,0
67,20_29,1713,401,32,5
67,30_39,3607,1095,91,12
67,40_49,6171,2620,239,31
67,50_59,7787,4132,458,102
67,60_69,8096,5338,765,300
67,70_79,8410,6591,792,977
67,80_89,5726,4392,73,1300
67,90_+,1384,894,9,403
68,0_9,127,42,4,0
68,10_19,231,46,3,0
68,20_29,1694,378,27,5
68,30_39,3561,1050,81,12
68,40_49,6156,2590,232,31
68,50_59,7792,4138,457,102
68,60_69,8106,5368,778,301
68,70_79,8429,6631,800,984
68,80_89,5730,4424,69,1308
68,90_+,1386,896,8,408
69,0_9,148,47,4,0
69,10_19,264,53,4,0
69,20_29,1840,398,30,6
69,30_39,3976,1142,95,15
69,40_49,6920,2865,264,34
69,50_59,8775,4635,541,130
69,60_69,9172,6059,920,374
69,70_79,9486,7409,896,1148
69,80_89,6509,4953,76,1508
69,90_+,1594,995,8,460
70,0_9,146,50,5,0
70,10_19,281,55,4,0
70,20_29,1918,407,31,8
70,30_39,4141,1164,99,15
70,40_49,7217,2969,286,41
70,50_59,9175,4833,632,137
70,60_69,9542,6283,1037,422
70,70_79,9855,7653,1037,1263
70,80_89,6938,5226,86,1684
70,90_+,1764,1104,11,534
71,0_9,145,52,5,0
71,10_19,289,57,4,0
71,20_29,1939,410,31,8
71,30_39,4209,1179,102,15
71,40_49,7340,3019,287,44
71,50_59,9370,4915,646,145
71,60_69,9736,6399,1047,445
71,70_79,10060,7804,1043,1318
71,80_89,7171,5376,85,1778
71,90_+,1871,1142,10,572
72,0_9,148,49,6,0
72,10_19,291,55,3,0
72,20_29,1964,408,31,8
72,30_39,4241,1186,105,15
72,40_49,7404,3036,289,48
72,50_59,9448,4975,657,150
72,60_69,9831,6466,1063,453
72,70_79,10163,7826,1055,1345
72,80_89,7258,5431,86,1808
72,90_+,1897,1162,10,584
73,0_9,212,90,14,0
73,10_19,306,58,3,0
73,20_29,2131,447,31,12
73,30_39,4535,1276,109,20
73,40_49,7971,3303,306,70
73,50_59,10237,5382,677,192
73,60_69,10610,6956,1131,614
73,70_79,10829,8313,1077,1837
73,80_89,7930,5809,87,2345
73,90_+,2112,1280,9,709
74,0_9,212,90,14,0
74,10_19,306,58,3,0
74,20_29,2131,447,31,12
74,30_39,4535,1276,109,20
74,40_49,7971,3303,306,70
74,50_59,10237,5382,677,192
74,60_69,10610,6956,1131,614
74,70_79,10829,8313,1077,1837
74,80_89,7930,5809,87,2345
74,90_+,2112,1280,9,709
75,,,,,
75,0_9,211.0,88.0,14.0,0.0
75,10_19,306.0,57.0,3.0,0.0
75,20_29,2138.0,447.0,31.0,12.0
75,30_39,4542.0,1278.0,108.0,20.0
75,40_49,7989.0,3311.0,309.0,70.0
75,50_59,10264.0,5387.0,681.0,195.0
75,60_69,10639.0,6973.0,1129.0,618.0
75,70_79,10849.0,8333.0,1067.0,1850.0
75,80_89,7959.0,5838.0,86.0,2356.0
